title,link
Bank Five Nine of Oconomowoc raises $20 million,https://www.bizjournals.com/milwaukee/news/2020/11/19/bank-five-nine-raises-funds.html?ana=brss_1028
BeyondMinds raises $15 million to drive enterprise AI adoption,https://venturebeat.com/2020/11/19/beyondminds-raises-15-million-to-drive-enterprise-ai-adoption/
Birmingham AI startup raises $1.7M,https://www.bizjournals.com/birmingham/news/2020/11/19/ai-metrics-scores-seed-round.html?ana=brss_1028
Brown Venture Group to Provide Ecolution KWH with Seed Financing to Achieve Net-Zero Emissions for Transportation,https://www.prnewswire.com:443/news-releases/brown-venture-group-provides-ecolution-kwh-with-seed-financing-to-achieve-net-zero-emissions-for-transportation-301176317.html
build.security Raises $6M in Seed Funding,https://www.finsmes.com/2020/11/build-security-raises-6m-in-seed-funding.html
"CAIS, a New York-based alternative investment platform, will raise $50 million in Series B funding from Eldridge.",https://finance.yahoo.com/news/cais-announces-50m-equity-investment-120000211.html
"Caldwell raises final leg of rail cost estimate to $2.5B, requests one-year planning extension",https://www.bizjournals.com/pacific/news/2020/11/19/caldwell-asks-fta-for-extension-on-rail-plan.html?ana=brss_1028
"Canvas, a San Francisco-based company using machine learning to install drywall at construction sites, raised $19 million from investors including Innovation Endeavors, Obvious Ventures, Brick & Mortar Ventures, and Grit Ventures.",https://www.venturecapitaljournal.com/construction-robotics-startup-canvas-inks-19m/
"Cardless, a San Francisco-based consumer credit card financial technology firm, has raised over $10 million from investors including Greycroft, Accomplice, Clocktower Ventures, and Pear.",https://www.venturecapitaljournal.com/cardless-grabs-over-10m/
"Chipper Cash, an African cross-border fintech startup, raised $30 million in Series B funding. Ribbit Capital led the round and was joined by investors including Bezos Expeditions, 500 Fintech, Deciens Capital, and One Way Ventures Read more.",https://techcrunch.com/2020/11/18/african-fintech-startup-chipper-cash-raises-30m-backed-by-jeff-bezos/
Cloud-Native Security Platform Deepfence Announces $9.5 Million Series A Investment Led by AllegisCyber,http://www.businesswire.com/news/home/20201118005260/en/Cloud-Native-Security-Platform-Deepfence-Announces-9.5-Million-Series-A-Investment-Led-by-AllegisCyber/
CloudBolt Announces $35M in Series B Funding,https://vcnewsdaily.com/cloudbolt/venture-capital-funding/rzqmdkbggm
Cogito raises $25 million to analyze phone calls with AI,https://venturebeat.com/2020/11/18/cogito-raises-25-million-to-analyze-phone-calls-with-ai/
ControlUp Announces $27M Series C Funding,https://vcnewsdaily.com/controlup/venture-capital-funding/ndcxxccrtl
Cooper Raises $2M in Seed Funding,https://www.finsmes.com/2020/11/cooper-raises-2m-in-seed-funding.html
CORRECTING and REPLACING Swaarm Secures €800K in Funding to Grow Performance-based Tracking Technology Solutions,http://www.businesswire.com/news/home/20201118005431/en/CORRECTING-and-REPLACING-Swaarm-Secures-%E2%82%AC800K-in-Funding-to-Grow-Performance-based-Tracking-Technology-Solutions/
"Cottage, a San Fracncsico-based company focused on building additional housing on existing properties, raised $3.5 million in seed funding. Base10 Partners and Susa Ventures led the round.",https://www.axios.com/cottage-35-million-accessory-dwelling-units-bf01754b-dc11-4ff3-86c7-633d2bfa7e2c.html
Credit Key Closes $33.85M in Series A Financing,https://www.finsmes.com/2020/11/credit-key-closes-33-85m-in-series-a-financing.html
"Datafold,  a San Francisco-based firm seeking to automate testing and monitoring of data analytics, raised $2.1 million in seed funding. New Enterprise Associates led the round.",https://pitchbook.com/newsletter/datafold-raises-seed-round
"Deepfence, a Milpitas, Calif.-based cloud protection platform, raised $9.5 million in Series A funding. AllegisCyber led the round and was joined by investors including Sonae IM and Chiratae Ventures.",https://www.crunchbase.com/organization/deepfence
Denver AI property insurance startup Flyreel lands $10M Series A funding,https://www.bizjournals.com/denver/inno/stories/fundings/2020/11/19/denver-ai-property-insurance-startup-lands-10m.html?ana=brss_1028
Duolingo Raises $35M in Funding,https://www.finsmes.com/2020/11/duolingo-raises-35m-in-funding.html
Elevation Oncology Inks $65M Series B Financing,https://vcnewsdaily.com/elevation-oncology/venture-capital-funding/bmwyqyqyfc
Elevation Oncology Raises $65M in Series B Financing,https://www.finsmes.com/2020/11/elevation-oncology-raises-65m-in-series-b-financing.html
Encantos Raises $5.7M in Seed Funding,https://www.finsmes.com/2020/11/encantos-raises-5-7m-in-seed-funding.html
Everytable Receives $16M Series B,https://vcnewsdaily.com/everytable/venture-capital-funding/sgbqlfklhx
Evommune Snags $12M in Seed Funding,https://vcnewsdaily.com/evommune/venture-capital-funding/wtmmxyrytc
Exclusive: Facio Raises $5M Seed Supporting Brazilian Payroll Loan Platform,https://news.crunchbase.com/news/exclusive-facio-raises-5m-seed-supporting-brazilian-payroll-loan-platform/
"Farmstead, a grocery startup with a focus on software, raises $7.9M",http://feedproxy.google.com/~r/Techcrunch/~3/gSEypsahx1c/
Fireblocks raises $30 million in Series B funding,https://www.bizjournals.com/newyork/news/2020/11/18/new-york-digital-asset-security-firm-fireblocks.html?ana=brss_1028
FireEye Announces $400 Million Strategic Investment Led by Blackstone,http://www.businesswire.com/news/home/20201119006259/en/FireEye-Announces-400-Million-Strategic-Investment-Led-by-Blackstone/
Forter Raises $125M Series E; Rapid Growth and Market Demand for Real-Time Fraud Prevention Platform Elevates Valuation to More than $1.3B,http://www.businesswire.com/news/home/20201119006190/en/Forter-Raises-125M-Series-E-Rapid-Growth-and-Market-Demand-for-Real-Time-Fraud-Prevention-Platform-Elevates-Valuation-to-More-than-1.3B/
"Forter, a New York-based e-commerce fraud prevention company, raised $125 million in Series E funding. Bessemer Venture Partners, Felix Capital and Itai Tsiddon led the round and were joined by investors including Sequoia Capital, NewView Capital, Scale Venture Partners, March Capital Partners, and Commerce Ventures. The round values the company at over $1.3 billion.","https://venturebeat.com/2020/11/19/forter-raises-125-million-at-a-1-3-billion-valuation-to-combat-ecommerce-fraud-with-ai/#:~:text=Log%20Out-,Forter%20raises%20%24125%20million%20at%20a%20%241.3%20billion,combat%20ecommerce%20fraud%20with%20AI&text=Forter%2C%20an%20automated%20fraud%20detection,surge%20under%20pandemic%2Ddriven%20lockdowns"
Genies raises $3 million from Bandai Namco for Asia expansion,https://venturebeat.com/2020/11/20/genies-raises-3-million-from-bandai-namco-for-asia-expansion/
"Gojek, the Southeast Asian ride-hailing giant, raised $150 million from Telkomsel. Read more.",https://techcrunch.com/2020/11/16/indonesian-telecom-network-telkomsel-invests-150-million-in-gojek/
"Grouparoo, a Menlo Park, Calif.-based way to sync data warehouses to third-party tools, raised $3 million in seed funding. Eniac Ventures and Fuel Capital led the round and was joined by investors including Hack VC, Liquid2, and SCM Advisors.",https://techcrunch.com/2020/11/18/grouparoo-snares-3m-seed-to-build-open-source-customer-data-integration-framework/
Gunzilla raises $25 million to make triple-A games with ex-Crytek leader,https://venturebeat.com/2020/11/19/gunzilla-raises-25-million-to-make-triple-a-games-with-ex-crytek-leader/
"Headway, a New York-based way to search for therapists, raised $26 million in Series A funding. Thrive and GV led the round and were joined by Accel , GFC and IA Ventures. Read more.",https://techcrunch.com/2020/11/18/headway-raises-26m-to-help-people-find-therapists-and-therapists-to-accept-insurance/
Home improvement projects saw a big bump this year. And a Md. startup is benefiting with a $25M raise.,https://www.bizjournals.com/washington/inno/stories/fundings/2020/11/19/curbio-raises-25m-for-more-expansion.html?ana=brss_1028
Imago BioSciences Raises $80 Million in Series C Financing,http://www.businesswire.com/news/home/20201119005341/en/Imago-BioSciences-Raises-80-Million-in-Series-C-Financing/
"Investors led by Digital Colony invested nearly $1.3 billion in Vantage Data Centers, a Santa Clara-based provider of data center campuses. Financial terms weren't disclosed.",https://www.crunchbase.com/organization/vantage-data-centers
IQHQ Completes Second Equity Raise of $1.7 Billion,http://www.businesswire.com/news/home/20201119005299/en/IQHQ-Completes-Second-Equity-Raise-of-1.7-Billion/
Italian Fintech Satispay announces €93M series C round to further accelerate growth and internationalization,http://www.businesswire.com/news/home/20201119006137/en/Italian-Fintech-Satispay-announces-%E2%82%AC93M-series-C-round-to-further-accelerate-growth-and-internationalization/
"Juni, a Swedish online banking platform, raised €2 million ($2.4 million) in seed funding. Cherry Ventures led the round.",https://www.crunchbase.com/organization/juni
K Health raises $42 million to expand its AI-powered telemedicine platform,https://venturebeat.com/2020/11/18/k-health-raises-42-million-to-expand-its-ai-powered-telemedicine-platform/
Kea raises $10M to build AI that helps restaurants answer the phone,http://feedproxy.google.com/~r/Techcrunch/~3/9qSixN8TbaY/
"KisanHub, a U.K.-based supply chain management platform, raised £1.12 million in seed funding.",https://www.crunchbase.com/organization/kisanhub-com/company_financials
Koa Health Secures Over €14M in Initial Funding,https://www.finsmes.com/2020/11/koa-health-secures-over-e14m-in-initial-funding.html
Labby Raises $480K in Seed Funding,https://www.finsmes.com/2020/11/labby-raises-480k-in-seed-funding.html
Leading Latinx Led Software Developer Bootcamp Sabio expands its program with a new round of funding to train more women and minorities for high paying jobs in tech,https://www.prnewswire.com:443/news-releases/leading-latinx-led-software-developer-bootcamp-sabio-expands-its-program-with-a-new-round-of-funding-to-train-more-women-and-minorities-for-high-paying-jobs-in-tech-301177546.html
Levels Raises $12M in Seed Funding,https://www.finsmes.com/2020/11/levels-raises-12m-in-seed-funding.html
Lightfox Games Raises $3.3M in Seed Round to Build More Accessible Mobile Midcore Games,http://www.businesswire.com/news/home/20201120005094/en/Lightfox-Games-Raises-3.3M-in-Seed-Round-to-Build-More-Accessible-Mobile-Midcore-Games/
Loadsmart raises $90 million in Series C funding,https://www.bizjournals.com/newyork/news/2020/11/20/digital-freight-shipping-company-loadsmart-raises.html?ana=brss_1028
Lonnie Johnson's JTEC Energy raises $1.5M seed round for innovative renewable energy source,https://www.bizjournals.com/atlanta/inno/stories/fundings/2020/11/18/atlanta-company-raises-1-5m-seed-round.html?ana=brss_1028
"Maravai LifeSciences, a San Diego, Calif.-based maker of products used for drug development and research, raised $1.6 billion. GTCR backs the firm. Read more.",https://www.sec.gov/Archives/edgar/data/1823239/000119312520292361/d73061ds1a.htm
Martis invests in DCN Dx,https://www.pehub.com/martis-invests-in-dcn-dx/
Mati Scores $13.5M Series A Round,https://vcnewsdaily.com/mati/venture-capital-funding/drdfbcxcdk
"Medable, a Palo Alto, Calif.-based telemedicine trial platform, has raised about $64 million of a planned $94 million in funding. Read more.",https://www.sec.gov/Archives/edgar/data/1661043/000166104320000007/xslFormDX01/primary_doc.xml
MedAvail Closes $84M Funding Round,https://www.finsmes.com/2020/11/medavail-closes-84m-funding-round.html
Morai Closes US$1.8M Series A Funding Round,https://www.finsmes.com/2020/11/morai-closes-us1-8m-series-a-funding-round.html
MycoWorks Grabs $45M Series B Funding Round,https://vcnewsdaily.com/mycoworks/venture-capital-funding/mybftfqvrf
"NeoGames, a Newark, De.-based online gaming tech provider to lottery operators, raised $82 million (45% sold by insiders). It posted revenues of $33 million and losses of $4 million in 2019. Read more.",https://www.sec.gov/Archives/edgar/data/1821349/000110465920118464/tm2029242-6_f1.htm
NestEgg Raises $7M Series A and Launches Interest-Free Payment Service,http://www.businesswire.com/news/home/20201118005153/en/NestEgg-Raises-7M-Series-A-and-Launches-Interest-Free-Payment-Service/
"Northstar, a Los Angeles-based provider of financial wellness benefits for employees, raised $7.3 million in Series A funding. M13 led the round and was joined by investors including Foundation Capital and Workday Ventures.","https://www.entrepreneur.com/article/359928#:~:text=Fintech%20company%20Northstar%20on%20Wednesday,Foundation%20Capital%20and%20Workday%20Ventures."
Obligo Raises $15.5M in Series A Funding,https://www.finsmes.com/2020/11/obligo-a-nyc-based-fintech-company-raised-15-5m-in-series-a-funding.html
"Obligo, a New York-based provider of deposit-free residential leasing tech, raised $15.5 million. Investors included 83North, 10D, Entrée Capital, and Viola Credit.",https://www.crunchbase.com/organization/obligo
Observable Raises $10.5M in Series A Funding,https://www.finsmes.com/2020/11/observable-raises-10-5m-in-series-a-funding.html
"olist, a Brazil-based sales platform, raised 310 million reais ($58 million) in a Series D funding. SoftBank Latin America Fund led the round and was joined by investors including Valor Capital Group, Península, VELT Partners, FJ Labs, and Kevin Efrusy.",https://www.crunchbase.com/organization/olist/company_financials
"Online learning startup raises $50M Series F funding, on the way to 200 Denver employees",https://www.bizjournals.com/denver/news/2020/11/20/udemy-raises-50m-series-f.html?ana=brss_1028
ORIX invests $60M in Israeli crowdfunding platform OurCrowd,http://feedproxy.google.com/~r/Techcrunch/~3/Q2j9de3Q01E/
Outcomes4Me Raises $4.7M in Funding,https://www.finsmes.com/2020/11/outcomes4me-raises-4-7m-in-funding.html
"OXIO, a New York-based cloud-based mobile carrier, raised $12 million in Series A funding. monashees and Atlantico Capital led the round and were joined by FinTech Collective and Multicoin Capital.",https://caposts.com/business/oxio-raises-12-million-in-funding-to-accelerate-network-partnership-development/
Peak Power Inc. Secures Funding From Sensata Ventures and Export Development Canada,http://www.businesswire.com/news/home/20201118005190/en/Peak-Power-Inc.-Secures-Funding-From-Sensata-Ventures-and-Export-Development-Canada/
Pharvaris Raises $80M in Series C Financing,https://www.finsmes.com/2020/11/pharvaris-raises-80m-in-series-c-financing.html
Pllay raises $3 million so gamers can wager on duels in popular games,https://venturebeat.com/2020/11/19/pllay-raises-3-million-so-gamers-can-wager-on-duels-in-popular-games/
"PLLAY, a Philadelphia-based video game wagering platform, raised $3 million in seed funding. Screen Play Ventures led the round and was joined by investors including NBA All-Star Bradley Beal.",https://www.crunchbase.com/organization/pllay-labs
Predicting Patient Outcomes: ClosedLoop.ai Secures $11M Series A For Health Models,https://news.crunchbase.com/news/predicting-patient-outcomes-closedloop-ai-secures-11m-series-a-for-health-models/
"Purespring Therapeutics, a U.K.-based gene therapy company focused on kidney diseases, was launched by Syncona (LON:SYNC) with £45 million ($60 million) in Series A funding. Syncona will have an 84% stake in the business.",https://endpts.com/spun-out-of-the-university-of-bristol-syncona-launches-new-gene-therapy-player-purespring-with-a-roughly-60m-series-a/
Realync Announces $22 Million Investment from Susquehanna Growth Equity,http://www.businesswire.com/news/home/20201118005697/en/Realync-Announces-22-Million-Investment-from-Susquehanna-Growth-Equity/
Restaurant technology startup MarginEdge raises $4M even as Covid-19 decimates restaurants,https://www.bizjournals.com/washington/news/2020/11/19/marginedge-raises-money-during-pandemic.html?ana=brss_1028
SA e-scooter operator raises millions more as it gains market momentum,https://www.bizjournals.com/sanantonio/news/2020/11/19/blue-duck-raises-nearly-5-million-in-equity.html?ana=brss_1028
Satispay Raises €93M in Series C Funding,https://www.finsmes.com/2020/11/satispay-raises-e93m-in-series-c-funding.html
Seldon Raises £7.1M in Series A Funding,https://www.finsmes.com/2020/11/seldon-raises-7-1m-in-series-a-funding.html
"SellerX, a Berlin-based acquirer of Amazon businesses, raised $118 million (€100 million) in seed funding. Cherry Ventures, Felix Capital, and TriplePoint Capital led the round and were joined by Village Global. Read more.",https://techcrunch.com/2020/11/19/sellerx-raises-118m-to-buy-up-and-grow-amazon-marketplace-businesses/
"Sofia, a Mexican healthtech startup, raised $19 million in Series A funding. Index Ventures led the round.",https://www.businessinsider.com/pitch-deck-health-sofia-raises-19-million-index-2020-11
Sports Data Company BETEGY LLC Raises Capital From JKR Investment Group For U.S. Expansion; Retains Global Gaming Expert Bill Pascrell III For Board Post,https://www.prnewswire.com:443/news-releases/sports-data-company-betegy-llc-raises-capital-from-jkr-investment-group-for-us-expansion-retains-global-gaming-expert-bill-pascrell-iii-for-board-post-301177312.html
Spring Health Raises $76M in Series B Financing,https://www.finsmes.com/2020/11/spring-health-raises-76m-in-series-b-financing.html
Startup putting a spin on college apparel industry scores new funding,https://www.bizjournals.com/dayton/news/2020/11/19/college-apparel-startup-scores-new-funding.html?ana=brss_1028
Stride Raises Funding from Moderne Ventures,https://www.finsmes.com/2020/11/stride-raises-funding-from-moderne-ventures.html
Subtle Medical Raises $12.2M Series A Funding,https://vcnewsdaily.com/subtle-medical/venture-capital-funding/nhrgshcmbp
"Sugarbreak, a New York-based maker of pills  to reduce sugar consumption, raised nearly $3 million in funding. Investors included SKAGEN Conscience Capital, Bronze, BBG Ventures, and Sorven Capital.",https://www.forbes.com/sites/monicahaider/2020/11/19/meet-a-founder-of-company-that-just-got-3-million-to-curb-sugar-intake-and-manage-blood-sugar/?sh=1a165c866a15
Swaarm Secures €800K in Funding to Grow Performance-based Tracking Technology Solutions,http://www.businesswire.com/news/home/20201118005431/en/Swaarm-Secures-%E2%82%AC800K-in-Funding-to-Grow-Performance-based-Tracking-Technology-Solutions/
Sylmar Group Completes Capital Raise to Invest in Water and Wastewater Services Businesses,https://www.prnewswire.com:443/news-releases/sylmar-group-completes-capital-raise-to-invest-in-water-and-wastewater-services-businesses-301176730.html
Tencent Music invests in Wave to bring a musical metaverse to China,https://venturebeat.com/2020/11/19/tencent-music-invests-in-wave-to-bring-a-musical-metaverse-to-china/
TestGorilla Raises $1.2M in Funding,https://www.finsmes.com/2020/11/testgorilla-raises-1-2m-in-funding.html
Tourlane Raises $20m in Series C Extension Funding,https://www.finsmes.com/2020/11/tourlane-raises-20m-in-series-c-extension-funding.html
Transfr raises $12M Series A to bring virtual reality to manufacturing-plant floors,http://feedproxy.google.com/~r/Techcrunch/~3/HEVpAhDl7nQ/
"Ubiq Security, a San Diego, Calif.-based cybersecurity startup, raised $6.4 million in a seed funding. Okapi Venture Capital led the round and was joined by investors including TenOneTen Ventures, Cove Fund, DLA Piper Venture, Volta Global, and Alexandria Venture Investments.",https://vcnewsdaily.com/ubiq-security/venture-capital-funding/nfxmrdnrnh
Udemy Raises $50 Million to Fuel Accelerated Global Demand for Online Learning,http://www.businesswire.com/news/home/20201118005326/en/Udemy-Raises-50-Million-to-Fuel-Accelerated-Global-Demand-for-Online-Learning/
Udemy Snares Additional $50M,https://vcnewsdaily.com/udemy/venture-capital-funding/tjwsxvptdr
Vantage Data Centers and Digital Colony Team Up for US$1.25 Billion Capital Raise,http://www.businesswire.com/news/home/20201119005334/en/Vantage-Data-Centers-and-Digital-Colony-Team-Up-for-US1.25-Billion-Capital-Raise/
Vennfi Collects $2.3M Seed investment,https://vcnewsdaily.com/vennfi/venture-capital-funding/sjklnjyxbh
Verbit raises $60 million to improve enterprise-focused transcription software,https://venturebeat.com/2020/11/19/verbit-raises-60-million-to-improve-enterprise-focused-transcription-software/
"Verbit, a New York-based transcription and captioning platform, raised $60 million in Series C funding. Sapphire Ventures led the round and was joined by investors including Vertex Ventures, Stripes, HV Ventures, Clatech, and Vertex Growth.",https://www.crunchbase.com/organization/verbit-ai/company_financials
Virtual Reality Startup Raises $12M to Help Displaced Workers Retrain for New Jobs,http://www.businesswire.com/news/home/20201119005285/en/Virtual-Reality-Startup-Raises-12M-to-Help-Displaced-Workers-Retrain-for-New-Jobs/
Walmart invests $5 million in N.C. A&T as it launches 'Equity in Education' initiative with university,https://www.bizjournals.com/triad/news/2020/11/19/n-c-a-t-walmart-launch.html?ana=brss_1028
Warburg Pincus invests in McMakler,https://www.pehub.com/warburg-pincus-invests-in-mcmakler/
"Welcome, a virtual events platform, raised $12 million in Series A funding. Kleiner Perkins led the round and was joined by investors including YC, Kapor Capital and WIN.",https://techcrunch.com/2020/11/18/welcome-raises-12-million-to-be-the-ritz-carlton-for-event-platforms/
Wuxi Biortus Biosciences Raises US$15M in Series A Financing,https://www.finsmes.com/2020/11/wuxi-biortus-biosciences-raises-us15m-in-series-a-financing.html
YvesBlue Raises $2M in First Funding,https://www.finsmes.com/2020/11/yvesblue-raises-2m-in-first-funding.html
Zapata Computing Raises $38M As Quantum Computing Nears,https://news.crunchbase.com/news/zapata-computing-raises-31-million-as-quantum-computing-nears/
"Zapata Computing, a Boston-based software company focused on quantum applications, raised $38 million in Series B funding. Comcast Ventures, Pitango, and Prelude Ventures led the round and were joined by BASF Venture Capital, Robert Bosch Venture Capital, The Engine Accelerator Fund, Ahren Innovation Capital, Alumni Ventures Group, Honeywell Venture Capital, ITOCHU Corporation, and Merck Global Health Innovation Fund.",https://www.crunchbase.com/organization/zapata-computing
ZenBusiness Raises $55M in Series B Funding,https://www.finsmes.com/2020/11/zenbusiness-raises-55m-in-series-b-funding.html
