,time_scraped,time_published,source,title,link,text
101,"11/19/2020, 17:41:12","11/19/2020, 19:18:41",Techcruch,Why Bessemer’s Byron Deeter thinks SaaS companies could grow even faster in 2021,http://feedproxy.google.com/~r/Techcrunch/~3/Vo0egk6fqSw/,"Byron Deeter is not backing down from his optimism about the cloud and the end of the COVID-19-induced wave of software buying doesn&#8217;t have him too worried. Of course, Deeter is an investor at Bessemer, a venture capital concern that has done well betting on the cloud, so you might expect him to stay a [&#8230;]"
103,"11/19/2020, 17:41:12","11/19/2020, 18:01:41",Techcruch,GM ups electric and autonomous vehicle spending to $27 billion through 2025,http://feedproxy.google.com/~r/Techcrunch/~3/eMn-iTFPHlI/,"General Motors said it will spend $27 billion over the next five years on the development of electric vehicles and automated technology, a 35% increase that exceeds the automaker&#8217;s investment in gas and diesel and is an effort to bring products to market faster. More than half of GM&#8217;s capital spending and product development team [&#8230;]"
104,"11/19/2020, 17:41:12","11/19/2020, 17:52:51",Techcruch,48 hours left to save $100 on passes to TC Sessions: Space 2020,http://feedproxy.google.com/~r/Techcrunch/~3/lANOraRd1vU/,"T-minus two days and counting. That’s how much time you have left to score early-bird passes to TC Sessions: Space 2020. If you’re part of this global startup community, don’t miss a two-day deep dive focused on the intrepid visionaries pushing the boundaries of technology and forging the future of space. And don’t miss the [&#8230;]"
149,"11/19/2020, 17:41:19","11/19/2020, 21:05:00",PRNewswire -Auto & Transportation,Carnival Corporation &amp; plc Announces Closing of an Equity Offering and Repurchase of Convertible Notes,https://www.prnewswire.com:443/news-releases/carnival-corporation--plc-announces-closing-of-an-equity-offering-and-repurchase-of-convertible-notes-301177641.html,"MIAMI, Nov. 19, 2020 /PRNewswire/ -- Carnival Corporation & plc (NYSE/LSE: CCL; NYSE: CUK), today announced that Carnival Corporation (the ""Corporation"") has closed its previously announced registered direct offering of 49.2 million shares of its common stock at a price of $18.05 per..."
155,"11/19/2020, 17:41:20","11/19/2020, 21:13:00",PRNewswire -Business Technology,"Fintech-Unternehmen Stanhope Financial Group startet internationale Tier-One-Bankdienstleistungen für KMU mit 3,5 Mio US-Dollar Finanzierung",https://www.prnewswire.com:443/news-releases/fintech-unternehmen-stanhope-financial-group-startet-internationale-tier-one-bankdienstleistungen-fur-kmu-mit-3-5-mio-us-dollar-finanzierung-832525161.html,"Der Globale Fintech-Anbieter vereint weltweites Transaction Banking, Asset Management und Investment Banking auf einer einzigen digitalen Plattform LONDON, 19.11.2020 /PRNewswire/ -- Stanhope Financial Group, ein neues Fintech-Unternehmen, startet heute als weltweit erster kombinierter..."
157,"11/19/2020, 17:41:20","11/19/2020, 21:08:00",PRNewswire -Business Technology,Freshworks Rated Top 25 Private Cloud Company to Work for during COVID-19,https://www.prnewswire.com:443/news-releases/freshworks-rated-top-25-private-cloud-company-to-work-for-during-covid-19-301177658.html,"SAN MATEO, Calif., Nov. 19, 2020 /PRNewswire/ -- Freshworks Inc., the customer and employee engagement software company, was recognized as one of the 25 Highest Rated Private Cloud Computing Companies To Work For in a list released by Battery Ventures, a global investment firm and cloud..."
158,"11/19/2020, 17:41:20","11/19/2020, 21:34:00",PRNewswire -Consumer Products & Retail,Kerrygold Selects Weber Shandwick to Lead U.S. Corporate and Consumer Communications,https://www.prnewswire.com:443/news-releases/kerrygold-selects-weber-shandwick-to-lead-us-corporate-and-consumer-communications-301177683.html,"CHICAGO, Nov. 19, 2020 /PRNewswire/ -- Weber Shandwick, one of the world's leading global marketing solutions firms, has been selected to lead corporate and consumer communications in the U.S. for Kerrygold, an international brand of Ornua, the Irish dairy cooperative. Kerrygold sells its..."
159,"11/19/2020, 17:41:20","11/19/2020, 21:15:00",PRNewswire -Consumer Products & Retail,Keurig Dr Pepper Announces Closing of Secondary Offering of Common Stock,https://www.prnewswire.com:443/news-releases/keurig-dr-pepper-announces-closing-of-secondary-offering-of-common-stock-301177638.html,"BURLINGTON, Mass. and PLANO, Texas, Nov. 19, 2020 /PRNewswire/ -- Keurig Dr Pepper (NASDAQ: KDP) (the ""Company"" or ""KDP"") announced today the completion of its previously-announced registered public secondary offering of 60 million shares of the Company's outstanding common stock, for..."
160,"11/19/2020, 17:41:20","11/19/2020, 21:39:00",PRNewswire -Energy,AES Announces Pricing of $1.8 Billion of Senior Notes in a Private Offering,https://www.prnewswire.com:443/news-releases/aes-announces-pricing-of-1-8-billion-of-senior-notes-in-a-private-offering-301177685.html,"ARLINGTON, Va., Nov. 19, 2020 /PRNewswire/ -- The AES Corporation (NYSE: AES) announced that it has priced $800 million aggregate principal amount of 1.375% senior notes due 2026 (the ""2026 Notes"") and $1 billion aggregate principal amount of 2.450% senior notes due 2031 (the ""2031 Notes""..."
163,"11/19/2020, 17:41:20","11/19/2020, 18:37:00",PRNewswire -Energy,SoCalGas Declares Preferred Dividends,https://www.prnewswire.com:443/news-releases/socalgas-declares-preferred-dividends-301177556.html,"LOS ANGELES, Nov. 19, 2020 /PRNewswire/ -- The board of directors of Southern California Gas Co. (SoCalGas) has declared regular quarterly dividends for the preferred series stock of the company as follows: SoCalGas: Preferred Stock $0.375 per share Preferred Stock, Series A $0.375 per..."
168,"11/19/2020, 17:41:21","11/19/2020, 17:32:00",PRNewswire -Environ­ment,"Agrivoltaics Becoming Multi-Billion Dollar Industry, Reveals IDTechEx",https://www.prnewswire.com:443/news-releases/agrivoltaics-becoming-multi-billion-dollar-industry-reveals-idtechex-301177480.html,"BOSTON, Nov. 19, 2020 /PRNewswire/ -- One day solar ""power stations"" as we know them will be banned. On land and lake, no more blinding of large areas with black solar panels, throttling life. Substituting vast industrial desolation for a natural paradise or prime agriculture ruins..."
169,"11/19/2020, 17:41:21","11/19/2020, 22:26:00",PRNewswire -Financial Services & Investing,Healthfirst Offers New Shopping and Enrollment Experience for 2020,https://www.prnewswire.com:443/news-releases/healthfirst-offers-new-shopping-and-enrollment-experience-for-2020-301177717.html,"NEW YORK, Nov. 19, 2020 /PRNewswire/ -- Healthfirst, New York's largest not-for-profit health insurer* serving nearly 1.6 million members, is offering new ways for people to connect with Healthfirst during the 2020 Annual and Open Enrollment Periods, with options—including online, via..."
174,"11/19/2020, 17:41:22","11/19/2020, 20:25:00",PRNewswire -Policy & Public Interest,Star-Studded Thanksgiving Television Special To Benefit City Harvest And No Kid Hungry,https://www.prnewswire.com:443/news-releases/star-studded-thanksgiving-television-special-to-benefit-city-harvest-and-no-kid-hungry-301177629.html,"NEW YORK, Nov. 19, 2020 /PRNewswire/ -- Celebrity Chef Geoffrey Zakarian announced today that he will produce and host a one-hour Thanksgiving television special this coming Wednesday, November 25, 2020, to raise money for City Harvest and No Kid Hungry. THE GREAT AMERICAN FOODATHON..."
176,"11/19/2020, 17:41:22","11/19/2020, 18:35:00",PRNewswire -Sports,WSGF Confirms Capital Structure And Highlights Near Term Growth Plans,https://www.prnewswire.com:443/news-releases/wsgf-confirms-capital-structure-and-highlights-near-term-growth-plans-301177547.html,"DALLAS, Nov. 19, 2020 /PRNewswire/ -- World Series of Golf, Inc. (USOTC: WSGF) (""WSGF"") today released a statement from the CEO Bill Justice in response to recent shareholder inquiries regarding the company's capital structure. The statement included in its entirety below, also highlights..."
179,"11/19/2020, 17:41:22","11/19/2020, 15:00:00",PRNewswire -Sports,"SiriusXM is the New Destination for Original, Exclusive, and Popular Podcasts",https://www.prnewswire.com:443/news-releases/siriusxm-is-the-new-destination-for-original-exclusive-and-popular-podcasts-301177272.html,"NEW YORK, Nov. 19, 2020 /PRNewswire/ -- Starting today, SiriusXM is the new destination for original, exclusive, and popular podcasts with exclusive new original podcasts from Marvel Entertainment, a slate of SiriusXM original series featuring new shows from popular SiriusXM hosts..."
182,"11/19/2020, 17:41:22","11/19/2020, 14:07:00",PRNewswire -Sports,Glytch Bets on Return of Live Esports,https://www.prnewswire.com:443/news-releases/glytch-bets-on-return-of-live-esports-301177168.html,"LOS ANGELES, Nov. 19, 2020 /PRNewswire/ -- Known only to industry insiders, stealth startup Glytch Inc., has broken ground on the first of a series of venues across North America, each the official home stadium of a major esports team. Its premier location, in Los Angeles, is scheduled to..."
184,"11/19/2020, 17:41:25","11/19/2020, 22:16:32",BusinessJournal,Dayton not among finalists for U.S. Space Command headquarters,https://www.bizjournals.com/dayton/news/2020/11/19/space-command-hq-finalists.html?ana=brss_1028,"Despite the fact Dayton did not land the new headquarters, Wright-Patt will still play a role in the space intelligence domain moving forward."
185,"11/19/2020, 17:41:25","11/19/2020, 22:11:09",BusinessJournal,"County, which banned indoor dining, offers $5,000 grants for restaurants, other small businesses",https://www.bizjournals.com/stlouis/news/2020/11/19/county-which-banned-indoor-dining.html?ana=brss_1028,"Fresh off banning indoor dining this week, the administration of St. Louis County Executive Sam Page said Thursday it is offering new $5,000 grants for restaurants and other small businesses using CARES Act funds."
191,"11/19/2020, 17:41:25","11/19/2020, 21:12:08",BusinessJournal,Trade publication: Carolina Panthers stand to lose $94M in anticipated revenue from Covid capacity limits,https://www.bizjournals.com/charlotte/news/2020/11/19/price-of-panthers-capacity-limits-94m.html?ana=brss_1028,Trade publication Team Marketing Report estimates the Panthers will lose $94 million in anticipated revenue from home games at BofA Stadium this season.
192,"11/19/2020, 17:41:25","11/19/2020, 21:07:06",BusinessJournal,Local bank helps refinance $32M in public debt for Covid-impacted areas,https://www.bizjournals.com/sanantonio/news/2020/11/19/local-bank-helping-refinance-public-debt.html?ana=brss_1028,The relief is part of a broader $200 million loan program to help communities on both sides of the U.S.-Mexico border as they manage the pandemic.
199,"11/19/2020, 17:41:25","11/19/2020, 20:41:20",BusinessJournal,Exclusive: Developers' expansive vision for 'New Heights District' pursues two goals — build buildings and incubate businesses,https://www.bizjournals.com/nashville/news/2020/11/19/new-heights-distrct-speedwagon-mainland.html?ana=brss_1028,"The developers see immense potential in a 20-acre pocket of land along the downtown interstate loop, near the Adventure Science Center. It's all in an Opportunity Zone — which they believe will benefit their vision in two ways."
203,"11/19/2020, 17:41:25","11/19/2020, 20:28:00",BusinessJournal,Three Wisconsin tech companies make new Deloitte Fast 500 list,https://www.bizjournals.com/milwaukee/news/2020/11/19/three-wisconsin-companies-make-deloitte-fast-500.html?ana=brss_1028,"To be eligible for the list, companies must have base-year operating revenues of at least $50,000 and current-year operating revenues of at least $5 million."
204,"11/19/2020, 17:41:25","11/19/2020, 20:25:58",BusinessJournal,NM Solar Group continues to shine bright despite effects from Covid-19 pandemic,https://www.bizjournals.com/albuquerque/news/2020/11/19/nm-solar-group-2020-fastest-growing-winner-large.html?ana=brss_1028,"When sales began to increased, the winner of ABF's Fastest Growing Large Company award, used it as an opportunity to improve other aspects of its business."
210,"11/19/2020, 17:41:25","11/19/2020, 20:09:06",BusinessJournal,Bank of America grants $1M to Central Piedmont Community College for new jobs initiative,https://www.bizjournals.com/charlotte/news/2020/11/19/bank-of-america-cpcc-new-jobs-skills-initiative.html?ana=brss_1028,Bank of America Corp. is granting $1 million over four years to Central Piedmont Community College as part of a jobs initiative for students of color.
211,"11/19/2020, 17:41:25","11/19/2020, 20:03:16",BusinessJournal,South Florida housing market soars with double-digit growth in October,https://www.bizjournals.com/southflorida/news/2020/11/19/south-florida-housing-market-soars-in-october.html?ana=brss_1028,Sales volume and prices were both up by double digits.
212,"11/19/2020, 17:41:25","11/19/2020, 20:01:41",BusinessJournal,Bank of America partners with Atlanta Technical College for $1M jobs initiative,https://www.bizjournals.com/atlanta/news/2020/11/19/bank-of-america-atlanta-technical-college-jobs.html?ana=brss_1028,Atlanta Technical College is one of 21 schools nationwide to receive financial support for skills training and job placement as part of Bank of America's $25 million commitment to Black and Hispanic workers.
214,"11/19/2020, 17:41:25","11/19/2020, 19:59:51",BusinessJournal,"Apple agrees to settlement, including $5M to Arizona, in 'batterygate' consumer fraud lawsuits",https://www.bizjournals.com/phoenix/news/2020/11/19/apple-settles-batterygate-fraud-suits.html?ana=brss_1028,"Months after agreeing to settle a private class-action lawsuit of up to $500 million, Apple Inc. agreed to pay a $113 million fine to settle consumer fraud lawsuits around the 2017 ""batterygate"" scandal."
218,"11/19/2020, 17:41:25","11/19/2020, 19:53:51",BusinessJournal,How Covid changed the mission for John Eberle and the Community Foundation,https://www.bizjournals.com/albany/news/2020/11/19/john-eberle-of-community-foundation-covid.html?ana=brss_1028,"The Community Foundation for the Greater Capital Region had dispersed about $10 million in grants this year as of late October. Last year, the foundation dispersed $6 million total. The foundation has also played a part in raising over $1 million for human services nonprofits struggling during the pandemic."
224,"11/19/2020, 17:41:25","11/19/2020, 19:44:44",BusinessJournal,TJX plans to roll out e-commerce site for HomeGoods,https://www.bizjournals.com/boston/news/2020/11/19/tjx-plans-to-roll-out-e-commerce-site-homegoods.html?ana=brss_1028,The company had a lower-than-expected sales decline in Q3.
225,"11/19/2020, 17:41:25","11/19/2020, 19:38:44",BusinessJournal,Novel Coworking opening offices soon in downtown Albany,https://www.bizjournals.com/albany/news/2020/11/19/novel-coworking-opening-in-albany.html?ana=brss_1028,"Based in Chicago, Novel Coworking has 40 locations across the country. The downtown Albany building will be its first in New York. The company bought the property earlier this year for $6.5 million."
227,"11/19/2020, 17:41:25","11/19/2020, 19:24:22",BusinessJournal,"Retail roundup: River Oaks Bookstore closes, two art installations to open",https://www.bizjournals.com/houston/news/2020/11/19/river-oaks-bookstore-art-installations.html?ana=brss_1028,"Houston lost a longtime local bookstore, but it's gaining two art installations, one in west Houston and one in Sugar Land."
229,"11/19/2020, 17:41:25","11/19/2020, 19:13:41",BusinessJournal,Who makes what: See the earnings of Memphis' top public co. execs,https://www.bizjournals.com/memphis/news/2020/11/19/top-paid-public-company-execs.html?ana=brss_1028,"Combined, these executives made $148 million in total compensation last year."
230,"11/19/2020, 17:41:25","11/19/2020, 19:03:01",BusinessJournal,First Horizon recruits USAA exec as new chief marketing officer,https://www.bizjournals.com/memphis/news/2020/11/19/erin-pryor-cmo-first-horizon.html?ana=brss_1028,"Erin Pryor has 20 years of marketing experience in the banking, finance, and media industries."
236,"11/19/2020, 17:41:25","11/19/2020, 18:44:58",BusinessJournal,How Columbus employers have done in meeting incentive obligations,https://www.bizjournals.com/columbus/news/2020/11/19/columbus-job-incentives-pay-only-when-jobs-created.html?ana=brss_1028,"OSU is on track to hit the cap on its $35 million jobs creation incentive early, while sorely underperforming incentives have been canceled. Of deals that recently expired, employers collected a third of their estimated incentives."
237,"11/19/2020, 17:41:25","11/19/2020, 18:38:56",BusinessJournal,"New HPI Dallas boss discusses growth during COVID-19, expectations for 2021",https://www.bizjournals.com/dallas/news/2020/11/19/hunter-lee-hpi.html?ana=brss_1028,HPI has a leasing and management portfolio in North Texas of 6.5 million square feet.
239,"11/19/2020, 17:41:25","11/19/2020, 18:29:16",BusinessJournal,Hundreds of companies approved for $250K each in NC Covid relief – here's the list,https://www.bizjournals.com/triad/news/2020/11/19/list-of-nc-companies-getting-covid-relief-grant.html?ana=brss_1028,"The funds are meant to keep workers on the job amid the pandemic. More than 200 organizations were awarded the maximum amount possible – $250,000 — including 30 from the Triad. Here's the list."
241,"11/19/2020, 17:41:25","11/19/2020, 18:24:01",BusinessJournal,Gund Foundation gives $1.25M to Growth Opps,https://www.bizjournals.com/cleveland/news/2020/11/19/gund-foundation-gives-125m-to-african-american-l.html?ana=brss_1028,The grant comes on top of $2.3 million in seed funding given by the foundation earlier this year to support Growth Opps in creating a dedicated clean energy platform.
260,"11/19/2020, 17:41:25","11/19/2020, 17:01:10",BusinessJournal,"2020 CFO of the Year: Daniel Zaczkowski, TruStone Financial Federal Credit Union",https://www.bizjournals.com/twincities/news/2020/11/19/2020-cfo-of-the-year-daniel-zaczkowski-trustone.html?ana=brss_1028,"Daniel Zaczkowski has been chief financial officer of TruStone Financial Federal Credit Union for just over a decade, during which time the credit union grew assets from $627 million to $1.74 billion and went from the fifth-largest credit union in Minnesota to the third largest."
261,"11/19/2020, 17:41:25","11/19/2020, 16:57:25",BusinessJournal,Apple agrees to $113M settlement of 'batterygate' consumer fraud lawsuits,https://www.bizjournals.com/austin/news/2020/11/19/apple-settles-batterygate-fraud-suits.html?ana=brss_1028,"Months after agreeing to settle a private class-action lawsuit for up to $500 million, Apple has now agreed to pay a $113 million fine to settle consumer fraud lawsuits around the 2017 ""batterygate"" scandal."
264,"11/19/2020, 17:41:25","11/19/2020, 16:43:36",BusinessJournal,Top of the Market: Nashville’s most expensive homes sold Nov. 8-14,https://www.bizjournals.com/nashville/news/2020/11/19/top-of-the-market-nashville-s-most-expensive-home.html?ana=brss_1028,Check out the most expensive recent home sales in Nashville with this weekly feature.
273,"11/19/2020, 17:41:25","11/19/2020, 15:59:57",BusinessJournal,Help Desk: How to budget and save during the Covid-19 holidays,https://www.bizjournals.com/baltimore/news/2020/11/19/help-desk-budget-and-save-during-covid-19-holidays.html?ana=brss_1028,Here are some tips to help you manage your finances with the holidays approaching.
275,"11/19/2020, 17:41:25","11/19/2020, 15:45:00",BusinessJournal,The hottest places for millennials to live in the Valley in 2020,https://www.bizjournals.com/phoenix/news/2020/11/19/hottest-places-millennials-phoenix-2020.html?ana=brss_1028,"Many millennials are taking their first steps toward home ownership on the outer fringes of the Valley, while others are happy renting in a lock-and-leave lifestyle in downtown, core areas. Click through the slideshow inside the story to see the hottest 'hoods in the greater Phoenix area."
276,"11/19/2020, 17:41:25","11/19/2020, 15:39:39",BusinessJournal,Delaware health department beaks ground on new HQ,https://www.bizjournals.com/columbus/news/2020/11/19/delaware-health-breaks-ground-on-new-hq.html?ana=brss_1028,"The $6 million 30,000-square-foot building can expand another 10,000 square feet in the future."
279,"11/19/2020, 17:41:25","11/19/2020, 15:32:34",BusinessJournal,Museum of Fine Arts Houston's transformation wraps up with opening of Nancy and Rich Kinder Building,https://www.bizjournals.com/houston/news/2020/11/19/museum-of-fine-arts-houston-kinder-building-opens.html?ana=brss_1028,The MFAH's Campaign for the Museum of Fine Arts Houston launched back in January 2012 with a goal of raising $450 million for the project and the operating endowment. The campaign has exceeded its goal and to date has raised more than $470 million.
280,"11/19/2020, 17:41:25","11/19/2020, 15:24:10",BusinessJournal,"PayPal co-founder hitting the public markets again, this time with fintech Affirm",https://www.bizjournals.com/sanfrancisco/news/2020/11/19/affirm-files-ipo.html?ana=brss_1028,Max Levchin is going for round two in hitting the opening bell with another Bay Area startup.
281,"11/19/2020, 17:41:25","11/19/2020, 15:22:55",BusinessJournal,Jacqueline Welsch,https://www.bizjournals.com/buffalo/news/2020/11/19/40-under-40-profile-jacqueline-welsch.html?ana=brss_1028,Jacqueline Welsch is director of finance and operations at HEALTHeLINK.
284,"11/19/2020, 17:41:25","11/19/2020, 15:15:05",BusinessJournal,Michelle Watorek,https://www.bizjournals.com/buffalo/news/2020/11/19/40-under-40-profile-michelle-watorek.html?ana=brss_1028,Michelle Watorek is senior director of finance at BlueCross BlueShield of Western New York.
288,"11/19/2020, 17:41:25","11/19/2020, 15:01:36",BusinessJournal,Gordon Feinblatt moving from longtime downtown headquarters to Harbor East,https://www.bizjournals.com/baltimore/news/2020/11/19/gordon-feinblatt-signs-lease-in-harbor-east.html?ana=brss_1028,The law firm said it's moving following the recent sale of the historic Garrett Building at 233 E. Redwood St.
292,"11/19/2020, 17:41:25","11/19/2020, 14:29:38",BusinessJournal,Audrey Meyers,https://www.bizjournals.com/buffalo/news/2020/11/19/40-under-40-profile-audrey-meyers.html?ana=brss_1028,Audrey Meyers is vice president and director of retail sales and wealth management at Evans Bank.
294,"11/19/2020, 17:41:25","11/19/2020, 14:20:20",BusinessJournal,CPS board approves another $70M for conservation programs,https://www.bizjournals.com/sanantonio/news/2020/11/19/cps-board-approves-another-70m-for-conservation.html?ana=brss_1028,The funding will provide CPS Energy with a second gap year in which to pull together a long-term plan for its energy conservation programs.
299,"11/19/2020, 17:41:25","11/19/2020, 14:00:00",BusinessJournal,Bank of America grants $1M to Morgan State University for job initiative,https://www.bizjournals.com/baltimore/news/2020/11/19/bank-of-america-grants-morgan-state-job-initiative.html?ana=brss_1028,The partnership is part of a larger $25 million commitment Bank of America announced Thursday to enhance up-skilling and re-skilling for Black and Hispanic individuals across the U.S.
304,"11/19/2020, 17:41:25","11/19/2020, 13:30:05",BusinessJournal,Meet the finalists in the 2020 MBJ Small Business Awards,https://www.bizjournals.com/memphis/news/2020/11/19/2020-small-business-awards-finalists-announcements.html?ana=brss_1028,They are your favorite place to score some ribs. The place where you get your finances in order. The place where you do yoga or make your branding really sing. Here are MBJ's 2020 Small Business Awards finalists.
306,"11/19/2020, 17:41:25","11/19/2020, 13:20:23",BusinessJournal,"Lowe’s CEO Marvin Ellison defends Q3 results, talks major initiatives",https://www.bizjournals.com/triad/news/2020/11/19/lowes-ceo-marvin-ellison-on-q3-results-initiatives.html?ana=brss_1028,The CEO of Lowe's touted strong sales and key initiatives when he spoke with the Charlotte Business Journal on Wednesday.
315,"11/19/2020, 17:41:25","11/19/2020, 12:45:30",BusinessJournal,How a charity basketball game between two Columbus developers spawned a new Boys and Girls Club,https://www.bizjournals.com/columbus/news/2020/11/19/boys-and-girls-club-milo-grogan.html?ana=brss_1028,"The team has raised $11.5 million of its $13.5 million goal, and is hoping to raise the remaining $2 million over the next two to three months. Key donors include the Wolfe family, the city of Columbus and Nationwide Foundation. “People can disagree on Covid, or disagree on politics, but I think we can all be united in giving as much as we can to help the kids in these neighborhoods.”"
316,"11/19/2020, 17:41:25","11/19/2020, 12:41:17",BusinessJournal,Leadership Louisville looks to bounce back amid fundraising difficulties,https://www.bizjournals.com/louisville/news/2020/11/19/leadership-louisville-trying-to-span-a.html?ana=brss_1028,The coronavirus has taken away the group's best way to raise funds.
317,"11/19/2020, 17:41:25","11/19/2020, 12:31:07",BusinessJournal,Brookhaven withdraws tax break for controversial $61M Dresden Drive project,https://www.bizjournals.com/atlanta/news/2020/11/19/brookhaven-dresden-drive-tax-abatement.html?ana=brss_1028,A controversial $61 million Brookhaven project has been sidelined with no clear timetable for when it may move forward.
